sales,resale,price,engine_s,horsepow,wheelbas,width,length,curb_wgt,fuel_cap,mpg,lnsales
16.919,16.36,21.5,1.8,140,101.2,67.3,172.4,2.639,13.2,28,2.828437251
39.384,19.875,28.4,3.2,225,108.1,70.3,192.9,3.517,17.2,25,3.673359642
14.114,18.225, ,3.2,225,106.9,70.6,192,3.47,17.2,26,2.647167213
8.588,29.725,42,3.5,210,114.6,71.4,196.6,3.85,18,22,2.15036588
20.397,22.255,23.99,1.8,150,102.6,68.2,178,2.998,16.4,27,3.015387831
18.78,23.555,33.95,2.8,200,108.7,76.1,192,3.561,18.5,22,2.932792474
1.38,39,62,4.2,310,113,74,198.2,3.902,23.7,21,0.322083499
19.747, ,26.99,2.5,170,107.3,68.4,176,3.179,16.6,26.1,2.983001581
9.231,28.675,33.4,2.8,193,107.3,68.5,176,3.197,16.6,24,2.222567385
17.527,36.125,38.9,2.8,193,111.4,70.9,188,3.472,18.5,24.8,2.863742549
91.561,12.475,21.975,3.1,175,109,72.7,194.6,3.368,17.5,25,4.517005417
39.35,13.74,25.3,3.8,240,109,72.7,196.2,3.543,17.5,23,3.672495975
27.851,20.19,31.965,3.8,205,113.8,74.7,206.8,3.778,18.5,24,3.326868872
83.257,13.36,27.885,3.8,205,112.2,73.5,200,3.591,17.5,25,4.421932209
63.729,22.525,39.895,4.6,275,115.3,74.5,207.2,3.978,18.5,22,4.154639718
15.943,27.1,44.475,4.6,275,112.2,75,201, ,18.5,22,2.769019861
6.536,25.725,39.665,4.6,275,108,75.5,200.6,3.843,19,22,1.877325358
11.185,18.225,31.01,3,200,107.4,70.3,194.8,3.77,18,22,2.414573595
14.785, ,46.225,5.7,255,117.5,77,201.2,5.572,30,15,2.693613153
145.519,9.25,13.26,2.2,115,104.1,67.9,180.9,2.676,14.3,27,4.980306662
135.126,11.225,16.535,3.1,170,107,69.4,190.4,3.051,15,25,4.906207676
24.629,10.31,18.89,3.1,175,107.5,72.5,200.9,3.33,16.6,25,3.20392461
42.593,11.525,19.39,3.4,180,110.5,72.7,197.9,3.34,17,27,3.751689921
26.402,13.025,24.34,3.8,200,101.1,74.1,193.2,3.5,16.8,25,3.273439765
17.947,36.225,45.705,5.7,345,104.5,73.6,179.7,3.21,19.1,22,2.88742297
32.299,9.125,13.96,1.8,120,97.1,66.7,174.3,2.398,13.2,33,3.47503627
21.855,5.16,9.235,1,55,93.1,62.6,149.4,1.895,10.3,45,3.084429728
107.995, ,18.89,3.4,180,110.5,73,200,3.389,17,27,4.68208493
7.854,12.36,19.84,2.5,163,103.7,69.7,190.9,2.967,15.9,24,2.061022956
32.775,14.18,24.495,2.5,168,106,69.2,193,3.332,16,24,3.48966603
31.148,13.725,22.245,2.7,200,113,74.4,209.1,3.452,17,26,3.438750038
32.306,12.64,16.48,2,132,108,71,186,2.911,16,27,3.475252971
13.462,17.325,28.34,3.5,253,113,74.4,207.7,3.564,17,23,2.599870902
53.48,19.54, , , , , , , , , ,3.979307752
30.696, ,29.185,3.5,253,113,74.4,197.8,3.567,17,23,3.424132353
76.034,7.75,12.64,2,132,105,74.4,174.4,2.567,12.5,29,4.331180609
4.734,12.545,19.045,2.5,163,103.7,69.1,190.2,2.879,15.9,24,1.554770511
71.186,10.185,20.23,2.5,168,108,71,186,3.058,16,24,4.26529617
88.028,12.275,22.505,2.7,202,113,74.7,203.7,3.489,17, ,4.477654946
0.916,58.47,69.725,8,450,96.2,75.7,176.7,3.375,19,16,-0.087738914
227.061,15.06,19.46,5.2,230,138.7,79.3,224.2,4.47,26,17,5.425218704
16.767,15.51,21.315,3.9,175,109.6,78.8,192.6,4.245,32,15,2.819412669
31.038,13.425,18.575,3.9,175,127.2,78.8,208.5,4.298,32,16,3.43521226
111.313,11.26,16.98,2.5,120,131,71.5,215,3.557,22,19,4.712346053
101.323, ,26.31,5.2,230,115.7,71.7,193.5,4.394,25,17,4.618313434
181.749,12.025,19.565,2.4,150,113.3,76.8,186.3,3.533,20,24,5.202626614
70.227,7.425,12.07,2,110,98.4,67,174.7,2.468,12.7,30,4.251732852
113.369,12.76,21.56,3.8,190,101.3,73.1,183.2,3.203,15.7,24,4.730647985
35.068,8.835,17.035,2.5,170,106.5,69.1,184.6,2.769,15,25,3.557289034
245.815,10.055,17.885,3,155,108.5,73,197.6,3.368,16,24,5.50457922
175.67, ,12.315,2,107,103,66.9,174.8,2.564,13.2,30,5.168607235
63.403,14.21,22.195,4.6,200,114.7,78.2,212,3.908,19,21,4.149511179
276.747,16.64,31.93,4,210,111.6,70.2,190.7,3.876,21,19,5.623103731
155.787,13.175,21.41,3,150,120.7,76.6,200.9,3.761,26,21,5.04848969
125.338,23.575,36.135,4.6,240,119,78.7,204.6,4.808,26,16,4.831014088
220.65,7.85,12.05,2.5,119,117.5,69.4,200.7,3.086,20,23,5.396577736
540.561,15.075,26.935,4.6,220,138.5,79.1,224.5,4.241,25.1,18,6.292607489
199.685,9.85,12.885,1.6,106,103.2,67.1,175.1,2.339,11.9,32,5.296741125
230.902,13.21,15.35,2.3,135,106.9,70.3,188.8,2.932,17.1,27,5.441993378
73.203,17.71,20.55,2,146,103.2,68.9,177.6,3.219,15.3,24,4.293236404
12.855,17.525,26.6,3.2,205,106.4,70.4,178.2,3.857,21.1,19,2.553732841
76.029,19.49,26,3.5,210,118.1,75.6,201.2,4.288,20,23,4.331114846
41.184,5.86,9.699,1.5,92,96.1,65.7,166.7,2.24,11.9,31,3.718049831
66.692,7.825,11.799,2,140,100.4,66.9,174,2.626,14.5,27,4.200085006
29.45,8.91,14.999,2.4,148,106.3,71.6,185.4,3.072,17.2,25,3.38269391
23.713,19.69,29.465,3,227,108.3,70.2,193.7,3.342,18.5,25,3.166023421
15.467, ,42.8,3,240,114.5,71.6,191.3,3.65,18.4,21,2.738708722
55.557,13.475,14.46,2.5,120,93.4,66.7,152,3.045,19,17,4.017409521
80.556,13.775,21.62,4,190,101.4,69.4,167.5,3.194,20,20,4.388952595
157.04,18.81,26.895,4,195,105.9,72.3,181.5,3.88,20.5,19,5.05650055
24.072,26.975,31.505,3,210,105.1,70.5,190.2,3.373,18.5,23,3.181049339
12.698,32.075,37.805,3,225,110.2,70.9,189.2,3.638,19.8,23,2.541444501
3.334, ,46.305,4,300,110.2,70.9,189.2,3.693,19.8,21,1.204172784
6.375,40.375,54.005,4,290,112.2,72,196.7,3.89,22.5,22,1.852384091
9.126, ,60.105,4.7,230,112.2,76.4,192.5,5.401,25.4,15,2.211127483
51.238, ,34.605,3,220,103,71.5,180.1,3.9,17.2,21,3.936481444
13.798,20.525,39.08,4.6,275,109,73.6,208.5,3.868,20,22,2.624523654
48.911,21.725,43.33,4.6,215,117.7,78.2,215.3,4.121,19,21,3.89000232
22.925, ,42.66,5.4,300,119,79.9,204.8,5.393,30,15,3.132228018
26.232,8.325,13.987,1.8,113,98.4,66.5,173.6,2.25,13.2,30,3.26698004
42.541,10.395,19.047,2.4,154,100.8,68.9,175.4,2.91,15.9,24,3.750468317
55.616,10.595,17.357,2.4,145,103.7,68.5,187.8,2.945,16.3,25,4.01847093
5.711,16.575,24.997,3.5,210,107.1,70.3,194.1,3.443,19,22,1.74239414
0.11,20.94,25.45,3,161,97.2,72.4,180.3,3.131,19.8,21,-2.207274913
11.337,19.125,31.807,3.5,200,107.3,69.9,186.6,4.52,24.3,18,2.428071713
39.348,13.88,22.527,3,173,107.3,66.7,178.3,3.51,19.5,20,3.672445148
14.351,8.8,16.24,2,125,106.5,69.1,184.8,2.769,15,28,2.663819626
26.529,13.89,16.54,2,125,106.4,69.6,185,2.892,16,30,3.278238474
67.956,11.03,19.035,3,153,108.5,73,199.7,3.379,16,24,4.218860437
81.174,14.875,22.605,4.6,200,114.7,78.2,212,3.958,19,21,4.396594999
27.609,20.43,27.56,4,210,111.6,70.2,190.1,3.876,21,18,3.318141807
20.38,14.795,22.51,3.3,170,112.2,74.9,194.7,3.944,20,21,3.014554028
18.392,26.05,31.75,2.3,185,105.9,67.7,177.4,3.25,16.4,26,2.911915787
27.602,41.45,49.9,3.2,221,111.5,70.8,189.4,3.823,21.1,25,3.317888234
16.774,50.375,69.7,4.3,275,121.5,73.1,203.1,4.133,23.2,21,2.819830069
3.311,58.6,82.6,5,302,99,71.3,177.1,4.125,21.1,20,1.197250259
7.998, ,38.9,2.3,190,94.5,67.5,157.9,3.055,15.9,26,2.07919151
1.526, ,41,2.3,185,94.5,67.5,157.3,2.975,14,27,0.422649933
11.592, ,41.6,3.2,215,105.9,67.8,180.3,3.213,16.4,26,2.450315205
0.954, ,85.5,5,302,113.6,73.1,196.6,4.115,23.2,20,-0.047091608
28.976, ,35.3,3.2,215,111,72.2,180.6,4.387,19,20,3.366467901
42.643,8.45,13.499,1.8,126,99.8,67.3,177.5,2.593,13.2,30,3.752863134
88.094,11.295,20.39,2.4,155,103.1,69.1,183.5,3.012,15.9,25,4.478404426
79.853,15.125,26.249,3,222,108.3,70.3,190.5,3.294,18.5,25,4.380187444
27.308,15.38,26.399,3.3,170,112.2,74.9,194.8,3.991,20,21,3.3071797
42.574,17.81,29.299,3.3,170,106.3,71.7,182.6,3.947,21,19,3.751243738
54.158, ,22.799,3.3,170,104.3,70.4,178,3.821,19.4,18,3.9919057
65.005, ,17.89,3.3,170,116.1,66.5,196.1,3.217,19.4,18,4.17446419
1.112,11.24,18.145,3.1,150,107,69.4,192,3.102,15.2,25,0.106160196
38.554, ,24.15,3.5,215,109,73.6,195.9,3.455,18, ,3.652059856
80.255, ,18.27,2.4,150,107,70.1,186.7,2.958,15,27,4.385209065
14.69,19.89,36.229,4,250,113.8,74.4,205.4,3.967,18.5,22,2.68716699
20.017,19.925,31.598,4.3,190,107,67.8,181.2,4.068,17.5,19,2.996581913
24.361,15.24,25.345,3.4,185,120,72.2,201.4,3.948,25,22,3.192983493
32.734,7.75,12.64,2,132,105,74.4,174.4,2.559,12.5,29,3.488414293
5.24,9.8,16.08,2,132,108,71,186.3,2.942,16,27,1.656321498
24.155,12.025,18.85,2.4,150,113.3,76.8,186.3,3.528,20,24,3.184491398
